# This text will be overwritten whenever the script is run!
# Each line begins with the center_node and the following numbers are how many zeroes
# are in it and its neighbors.
# This data should be importable by Python using csv.reader()

# Example:
# TRENT,"[# of zeroe in TRENT, # of zeroes in neighbor 1, # zeroes in neighbor 2, ...]"

MAR_MARSFOG1,"[0, 0, 1, 0, 0, 0, 1, 10367, 43694, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33353, 41390, 41390, 41390, 744, 744, 744, 2, 45997, 20420, 1, 0, 5306, 5306, 5306, 5303, 5303, 5303, 5303, 5303, 5303, 0, 1, 1, 0, 0, 0, 0, 744, 744, 744, 744, 744, 744, 744, 744, 744, 0, 0, 0, 0, 1, 8998, 9670, 0, 3, 0, 0, 0, 0, 0, 0, 0, 36855, 42590, 42590, 42590, 4631, 0, 0, 0, 0, 0, 42590, 42590, 42590, 0, 0, 0, 0, 0, 0, 6600, 0, 40622, 40623]"
MAR_MARSFOG3,"[0, 0, 1, 0, 0, 0, 1, 10367, 43694, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33353, 41390, 41390, 41390, 744, 744, 744, 2, 45997, 20420, 1, 0, 5306, 5306, 5306, 5303, 5303, 5303, 5303, 5303, 5303, 0, 1, 1, 0, 0, 0, 0, 744, 744, 744, 744, 744, 744, 744, 744, 744, 0, 0, 0, 0, 1, 8998, 9670, 0, 3, 0, 0, 0, 0, 0, 0, 0, 36855, 42590, 42590, 42590, 4631, 0, 0, 0, 0, 0, 42590, 42590, 42590, 0, 0, 0, 0, 0, 0, 6600, 0, 40622, 40623]"
RIONOG_ST1,"[0, 1, 744, 745, 1, 1, 1]"
HB_WEST,"[1, 8, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1633, 1633, 1634, 1634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9502, 0, 0, 0, 1, 22269, 2, 5303, 5303, 5303, 5303, 1, 1, 0, 0, 3, 10702, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
MAR_MARSFOG2,"[8, 0, 1, 0, 0, 0, 1, 10367, 43694, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33353, 41390, 41390, 41390, 744, 744, 744, 2, 45997, 20420, 1, 0, 5306, 5306, 5306, 5303, 5303, 5303, 5303, 5303, 5303, 0, 1, 1, 0, 0, 0, 0, 744, 744, 744, 744, 744, 744, 744, 744, 744, 0, 0, 0, 0, 1, 8998, 9670, 0, 3, 0, 0, 0, 0, 0, 0, 0, 36855, 42590, 42590, 42590, 4631, 0, 0, 0, 0, 0, 42590, 42590, 42590, 0, 0, 0, 0, 0, 0, 6600, 0, 40622, 40623]"
KMCHI_1ST,"[0, 0, 744, 744, 0, 0, 0, 0, 0]"
BRTSW_BCW1,"[0, 0, 744, 744, 0, 0]"
GUADG_GAS1,"[0, 0, 744, 744, 0, 0, 0, 0, 0, 0, 0, 0]"
GBY_GBY_5,"[0, 0, 0, 0, 1]"
LEON_LCP4G4,"[0, 18764, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 744, 744, 744, 744, 18764, 18764, 0, 0, 1, 1, 0]"
